"author","hometown"
"Abena Osei","Tanglebriar"
"Abigail Harris","Ebonridge"
"Aiko Hayashi","Flintlock"
"Aiko Takahashi","Alderfall"
"Akira Yamamoto","Ravencrest"
"Alaric Runeweaver","Quicksilver"
"Albert Bierstadton","Tanglebriar"
"Alex Johnson","Lakeshire"
"Alexander Clark","Wraithwood"
"Alexander Young","Highcliff"
"Amara Diallo","Tanglewood"
"Amelia King","Havenwood"
"Amina Juma","Zephyr"
"Amina Kone","Windshire"
"Anja Novak","Umbralwood"
"Anjali Patel","Xenith"
"Aria Thompson","Arborcross"
"Arjun Nair","Glacierpoint"
"Audrey Wells","Firefly"
"Ava Bennett","Yondervale"
"Ava Carter","Pinemarch"
"Ava Foster","Ravencrest"
"Ava Green","Moonlit"
"Ava Johnson","Flintlock"
"Ava Lewis","Emberlyn"
"Ava Mitchell","Arborcross"
"Ava Parker","Starhaven"
"Ava Roberts","Windshire"
"Ava Spencer","Crestfall"
"Ava Thompson","Quagmire"
"Ava Turner","Zephyr"
"Ava White","Ebonwood"
"Benjamin Harris","Mistral"
"Benny Rodgers","Northstar"
"Caravaggio Manneris","Glacierpoint"
"Charles Sheelerson","Frostfang"
"Charlotte Evans","Cypress"
"Clara Monroe","Ravenwood"
"Clara Williams","Wraithwood"
"Daniel Thompson","Ironwood"
"Danny Lewis","Glacierpoint"
"Devika Kapoor","Hollowpoint"
"Donatello Artis","Ironhold"
"Dr. Alan Carter","Mistral"
"Draven Blackthorn","Elderglen"
"Edward Hopper","Thornfield"
"Elandra Nightshade","Ivoryspire"
"Eldric Moonwhisper","Eldoria"
"Elena Petrova","Jaspervale"
"Elias Turner","Quicksilver"
"Elijah Brooks","Aethermoor"
"Ella Foster","Mithralis"
"Ella King","Dawnmist"
"Ella Mitchell","Ivoryspire"
"Emily Carter","Starhaven"
"Emily Clark","Moonrise"
"Emily Green","Hawthorn"
"Emily Hall","Stormwatch"
"Emily Harris","Crystalwater"
"Emily Johnson","Amberfield"
"Emily Parker","Zephyr"
"Emily Roberts","Cinderfall"
"Emily Robinson","Wildhaven"
"Emily Scott","Dreadmoor"
"Emily Turner","Narrowhaven"
"Emily White","Hawthorn"
"Emma Bennett","Driftwood"
"Emma Carter","Ridgewood"
"Emma Green","Arborcross"
"Emma Harper","Krellton"
"Emma Harris","Highcliff"
"Emma Lewis","Zorath"
"Emma Roberts","Hollowpoint"
"Emma Scott","Elderglen"
"Emma Sinclair","Mistvale"
"Emma Taylor","Hollowpoint"
"Emma Turner","Hollowpoint"
"Emma White","Stonegate"
"Ethan Adams","Xenon"
"Ethan Brown","Verdantfield"
"Ethan Clark","Faywood"
"Ethan Davis","Nexon"
"Ethan Green","Highcliff"
"Ethan Hall","Quillspire"
"Ethan Harris","Aethermoor"
"Ethan Johnson","Krellton"
"Ethan Lewis","Kettlewood"
"Ethan Parker","Uldar"
"Ethan Phillips","Yondervale"
"Ethan Thompson","Eldoria"
"Ethan Turner","Verdantfield"
"Ethan Walker","Limestone"
"Ethan White","Ironhold"
"Ethan Wilson","Cedarwood"
"Ethan Wright","Galadorn"
"Evelyn Harper","Quillspire"
"Gabriel Stone","Briarwood"
"Gabriel Winters","Tanglewood"
"Galadriel Starfire","Zephyr"
"Georgia O'Keeffson","Galadorn"
"Giorgio Vasarius","Havenmoor"
"Gloria Stewart","Zarathor"
"Grace Adams","Northstar"
"Grace Green","Kingsreach"
"Grace Hall","Nighthaven"
"Grace Harris","Stormwatch"
"Grace Hughes","Xanadu"
"Grace Johnson","Orinwood"
"Grace Lee","Havenmoor"
"Grace Lewis","Dunewood"
"Grace Miller","Frosthelm"
"Grace Morgan","Stonegate"
"Grace Parker","Ashenvale"
"Grace Scott","Windshire"
"Grace Thompson","Oakenwald"
"Grace Turner","Havenwood"
"Grace White","Ebonridge"
"Grace Williams","Vermillion"
"Grandma Moseson","Whisperwind"
